210.34	2.11e-18
210.81	2.09e-18
211.28	2.07e-18
211.75	2.05e-18
212.22	2.03e-18
212.69	2.00e-18
213.16	1.98e-18
213.63	1.95e-18
214.10	1.92e-18
214.57	1.89e-18
215.04	1.86e-18
215.50	1.82e-18
215.97	1.79e-18
216.44	1.76e-18
216.91	1.72e-18
217.38	1.69e-18
217.85	1.65e-18
218.32	1.62e-18
218.79	1.58e-18
219.26	1.55e-18
219.73	1.52e-18
220.20	1.49e-18
220.67	1.45e-18
221.14	1.41e-18
221.60	1.38e-18
222.07	1.35e-18
222.54	1.31e-18
223.01	1.28e-18
223.48	1.25e-18
223.95	1.21e-18
224.42	1.18e-18
224.89	1.15e-18
225.36	1.12e-18
225.82	1.09e-18
226.29	1.06e-18
226.76	1.03e-18
227.23	9.97e-19
227.70	9.65e-19
228.17	9.37e-19
228.64	9.13e-19
229.11	8.89e-19
229.57	8.67e-19
230.04	8.43e-19
230.51	8.18e-19
230.98	7.94e-19
231.45	7.69e-19
231.92	7.44e-19
232.39	7.24e-19
232.85	7.06e-19
233.32	6.87e-19
233.79	6.68e-19
234.26	6.50e-19
234.73	6.31e-19
235.19	6.12e-19
235.66	5.94e-19
236.13	5.75e-19
236.60	5.56e-19
237.07	5.37e-19
237.54	5.18e-19
238.00	5.00e-19
238.47	4.84e-19
238.94	4.67e-19
239.41	4.51e-19
239.88	4.34e-19
240.34	4.20e-19
240.81	4.06e-19
241.28	3.92e-19
241.75	3.78e-19
242.22	3.65e-19
242.68	3.53e-19
243.15	3.41e-19
243.62	3.29e-19
244.09	3.18e-19
244.55	3.08e-19
245.02	2.97e-19
245.49	2.86e-19
245.96	2.76e-19
246.42	2.67e-19
246.89	2.57e-19
247.36	2.48e-19
247.83	2.38e-19
248.29	2.30e-19
248.76	2.22e-19
249.23	2.13e-19
249.70	2.05e-19
250.16	1.98e-19
250.63	1.91e-19
251.10	1.84e-19
251.57	1.76e-19
252.03	1.70e-19
252.50	1.64e-19
252.97	1.58e-19
253.43	1.52e-19
253.90	1.46e-19
254.37	1.41e-19
254.84	1.36e-19
255.30	1.31e-19
255.77	1.26e-19
256.24	1.21e-19
256.70	1.16e-19
257.17	1.11e-19
257.64	1.07e-19
258.10	1.02e-19
258.57	9.82e-20
259.04	9.42e-20
259.51	9.02e-20
259.97	8.63e-20
260.44	8.31e-20
260.91	8.01e-20
261.37	7.71e-20
261.84	7.40e-20
262.31	7.13e-20
262.77	6.88e-20
263.24	6.62e-20
263.71	6.36e-20
264.17	6.12e-20
264.64	5.91e-20
265.10	5.70e-20
265.57	5.49e-20
266.04	5.28e-20
266.50	5.05e-20
266.97	4.81e-20
267.44	4.58e-20
267.90	4.35e-20
268.37	4.19e-20
268.84	4.05e-20
269.30	3.91e-20
269.77	3.77e-20
270.23	3.62e-20
270.70	3.46e-20
271.17	3.29e-20
271.63	3.13e-20
272.10	2.97e-20
272.56	2.86e-20
273.03	2.74e-20
273.50	2.62e-20
273.96	2.51e-20
274.43	0.00e+00
274.89	0.00e+00
275.36	0.00e+00
275.83	0.00e+00
276.29	0.00e+00
276.76	0.00e+00
277.22	0.00e+00
277.69	0.00e+00
278.15	0.00e+00
278.62	0.00e+00
279.09	0.00e+00
279.55	0.00e+00
280.02	0.00e+00
280.48	0.00e+00
280.95	0.00e+00
281.41	0.00e+00
281.88	0.00e+00
282.34	0.00e+00
282.81	0.00e+00
283.28	0.00e+00
283.74	0.00e+00
284.21	0.00e+00
284.67	0.00e+00
285.14	0.00e+00
285.60	0.00e+00
286.07	0.00e+00
286.53	0.00e+00
287.00	0.00e+00
287.46	0.00e+00
287.93	0.00e+00
288.39	0.00e+00
288.86	0.00e+00
289.32	0.00e+00
289.79	0.00e+00
290.25	0.00e+00
290.72	0.00e+00
291.18	0.00e+00
291.65	0.00e+00
292.11	0.00e+00
292.58	0.00e+00
293.04	0.00e+00
293.51	0.00e+00
293.97	0.00e+00
294.44	0.00e+00
294.90	0.00e+00
295.37	0.00e+00
295.83	0.00e+00
296.30	3.38e-21
296.76	4.29e-21
297.22	4.65e-21
297.69	4.45e-21
298.15	4.19e-21
298.62	3.82e-21
299.08	3.65e-21
299.55	4.35e-21
300.01	5.03e-21
300.48	5.28e-21
300.94	5.53e-21
301.40	5.18e-21
301.87	4.73e-21
302.33	5.49e-21
302.80	6.75e-21
303.26	7.49e-21
303.73	7.88e-21
304.19	8.84e-21
304.65	1.06e-20
